          b  2012-10-03    18:30:00     24.4mHz     8.7mV/m       25.8*        5.9L      4.2LPP 
          a  2012-10-06    07:30:00     13.3mHz     3.1mV/m       74.6*        5.1L      4.0LPP 
          b  2012-10-06    19:30:00     11.1mHz     1.0mV/m      115.9*        6.0L      4.7LPP 
          a  2012-10-09    17:30:00     10.0mHz     0.6mV/m       80.6*        3.7L      3.0LPP 
          a  2012-10-10    01:30:00      8.9mHz     1.1mV/m       77.7*        5.4L      3.3LPP 
          b  2012-10-11    00:30:00     11.1mHz     0.7mV/m       81.8*        5.5L      3.7LPP 
          b  2012-10-11    01:00:00      8.9mHz     0.8mV/m       62.7*        5.0L      3.7LPP 
          a  2012-10-14    21:00:00      7.8mHz     1.1mV/m       88.1*        6.1L      3.0LPP 
          a  2012-10-23    22:00:00     12.3mHz     3.3mV/m       66.7*        5.0L      4.6LPP 
          b  2012-10-23    19:00:00     13.4mHz     3.0mV/m       54.9*        5.6L      5.0LPP 
          b  2012-10-23    19:30:00     14.4mHz     3.1mV/m       73.5*        5.3L      4.9LPP 
          b  2012-10-23    20:00:00     15.5mHz     4.0mV/m       71.1*        4.7L      4.9LPP 
          a  2012-10-27    04:30:00     10.0mHz     0.9mV/m      166.2*        5.9L      5.0LPP 
          b  2012-11-05    00:30:00     19.0mHz     0.5mV/m      124.0*        4.0L      5.0LPP 
          a  2012-11-08    07:00:00     11.1mHz     0.3mV/m      102.7*        3.6L      3.8LPP 
          b  2012-11-17    19:00:00     13.3mHz     0.4mV/m       60.7*        3.4L      4.5LPP 
          b  2012-12-11    21:00:00      6.7mHz     0.5mV/m       79.2*        3.8L      5.0LPP 
          a  2012-12-15    20:30:00      8.9mHz     0.5mV/m       75.2*        5.3L      4.6LPP 
          b  2012-12-29    23:00:00      6.7mHz     0.8mV/m       72.9*        4.7L      5.5LPP 
          a  2013-02-03    15:00:00     10.0mHz     0.3mV/m      132.3*        5.5L      5.2LPP 
          a  2013-02-10    16:00:00     10.0mHz     0.4mV/m       78.1*        3.4L      4.7LPP 
          b  2013-02-14    17:00:00     11.1mHz     0.3mV/m       82.5*        6.2L      3.9LPP 
          a  2013-02-17    19:30:00      8.9mHz     1.2mV/m       96.3*        4.7L      3.8LPP 
          a  2013-02-18    14:30:00      7.8mHz     0.5mV/m       65.2*        5.7L      4.8LPP 
          b  2013-02-20    14:30:00     11.1mHz     0.6mV/m       59.4*        4.4L      4.5LPP 
          a  2013-02-21    23:00:00     16.7mHz     0.3mV/m       88.1*        5.2L      4.2LPP 
          a  2013-02-24    15:00:00     16.7mHz     0.3mV/m       60.2*        6.0L      4.6LPP 
          a  2013-02-25    17:30:00      8.9mHz     0.5mV/m       55.6*        5.9L      4.9LPP 
          b  2013-02-25    12:30:00     11.1mHz     0.3mV/m       64.7*        5.0L      4.5LPP 
          b  2013-03-01    15:30:00      7.8mHz     2.5mV/m       71.4*        4.8L      3.3LPP 
          b  2013-03-02    18:00:00     16.7mHz     0.3mV/m       56.5*        3.9L      3.8LPP 
          b  2013-03-02    19:30:00      8.9mHz     1.4mV/m       68.2*        5.5L      3.7LPP 
          a  2013-03-17    11:30:00      7.8mHz     0.7mV/m       62.2*        4.1L      3.2LPP 
          a  2013-03-20    07:30:00     10.0mHz     0.5mV/m     -104.9*        5.1L      3.9LPP 
          a  2013-03-24    14:30:00     10.0mHz     0.6mV/m       52.3*        4.6L      4.7LPP 
          b  2013-03-24    14:30:00     10.0mHz     0.7mV/m       66.1*        5.0L      4.7LPP 
          a  2013-04-01    06:30:00      6.7mHz     0.6mV/m     -110.2*        5.4L      4.3LPP 
          b  2013-04-07    13:30:00      7.8mHz     0.7mV/m       66.2*        5.6L      5.0LPP 
          b  2013-04-12    05:30:00     16.7mHz     0.6mV/m     -112.1*        5.0L      5.8LPP 
